open	close	type	description	rev	user
08/19/13	08/29/13	done	comp should correct to nearest tetrachord tone instead of nearest scale tone	1.0.00.000	
08/19/13	09/01/13	done	wrap system MIDI API to avoid leaks	1.0.00.000	
08/19/13	09/01/13	done	support Unicode just in case	1.0.00.000	
08/19/13	09/12/13	done	refactor Robogonzi.cpp into engine	1.0.00.001	
08/19/13	09/14/13	done	make settings persistent	1.0.00.005	
08/31/13	09/14/13	done	handle multiple MIDI ports	1.0.00.016	
09/14/13	09/16/13	done	property page scroll bars	1.0.00.016	
09/12/13	09/17/13	done	open/save patch file	1.0.00.020	
09/12/13	09/17/13	done	stop engine during song read	1.0.00.020	
09/18/13	09/19/13	done	dynamically generate spin controls	1.0.00.024	
09/18/13	09/19/13	done	show voicing names in start case	1.0.00.025	
09/12/13	10/03/13	done	insert/delete part	1.0.00.039	
09/12/13	10/03/13	done	part properties	1.0.00.039	
09/12/13	10/03/13	done	parts list	1.0.00.039	
09/18/13	10/03/13	done	clipboard; part cut/copy/paste	1.0.00.039	
09/18/13	10/03/13	done	rename parts	1.0.00.039	
09/18/13	10/03/13	done	next/previous pane via F6/Shift+F6	1.0.00.040	
09/18/13	10/03/13	done	part list context menu	1.0.00.040	
09/20/13	10/03/13	done	persistence of selected page in properties and parts bars	1.0.00.040	
09/19/13	10/04/13	done	drag reorder parts	1.0.00.042	
09/19/13	10/04/13	done	enable parts via parts list checkbox	1.0.00.043	
09/23/13	10/04/13	done	previous comp state must be stored per part; engine needs a part state array	1.0.00.043	
09/18/13	10/05/13	done	part patch number, volume	1.0.00.044	
09/20/13	10/05/13	done	only open devices actually in use, to avoid needlessly slowing engine run/stop	1.0.00.044	
09/20/13	10/05/13	done	handle device change message	1.0.00.044	
10/06/13	10/06/13	done	midiOutReset is too slow; silence mapped notes instead	1.0.00.046	
09/12/13	10/10/13	done	undo	1.0.00.049	
09/18/13	10/10/13	done	patch doc modify flag; related to undo	1.0.00.049	
10/10/13	10/10/13	done	in .NET, SerializeElements not specialized for CPart; template<> is required	1.0.00.049	
10/10/13	10/10/13	done	64-bit version; passes undo test	1.0.00.049	
08/19/13	10/12/13	done	GUI	1.0.00.050	
09/18/13	10/12/13	done	show chord chart in view and indicate current position; update on transpose	1.0.00.050	
09/18/13	10/12/13	done	start playing at specified chart position	1.0.00.050	
10/12/13	10/12/13	done	chart should use highlight color only when view has focus	1.0.00.050	
10/11/13	10/13/13	done	constrain PPQ to multiples of 24; use combo instead of edit	1.0.00.051	
10/12/13	10/13/13	done	options dialog for non-engine settings	1.0.00.051	
